twitter_id,create_at,tweet_text,user_id,user_location,tag_text,url,key_word,retweet_count,like_count,twitter_hour,twitter_weekday,twitter_day
14,2018-04-09 06:12:52,#VolvoCarOpen press conference: Aleksandra Krunic causes a stir after suggesting if I've paid to watch Roger Federe… https://t.co/Nq8x0NBmxH,767784529406726144,"An alternate, better, universe",VolvoCarOpen,https://t.co/Nq8x0NBmxH,Roger Federer,0,0,6,0,9
34,2018-04-09 06:11:57,RT @HTSportsNews: #DavisCup @DavidFerrer87 sends Spain into semis vs France; Croatia set up US date https://t.co/CK8paEQe6D https://t.co/9d…,916347858,tokyo,DavisCup,https://t.co/CK8paEQe6D,David Ferrer,3,0,6,0,9
9,2018-04-09 06:10:24,"Roger Federer is like Maradona and Messi, says tennis star Diego Schwartzman

#RogerFederer #DiegoSchwartzman… https://t.co/IbaCLnYcI6",403670899,India,RogerFederer,https://t.co/IbaCLnYcI6,Rafael Nadal,1,1,6,0,9
15,2018-04-09 06:10:24,"Roger Federer is like Maradona and Messi, says tennis star Diego Schwartzman

#RogerFederer #DiegoSchwartzman… https://t.co/IbaCLnYcI6",403670899,India,RogerFederer,https://t.co/IbaCLnYcI6,Roger Federer,1,1,6,0,9
120,2018-04-09 06:09:45,#CoupeDavis : le Nordiste Lucas Pouille aimerait que le président Giudicelli “écoute” les joueurs ►… https://t.co/I6c4B061bU,190668307,Lille,CoupeDavis,https://t.co/I6c4B061bU,Lucas Pouille,1,1,6,0,9
35,2018-04-09 05:57:33,"@alevxgulay Surprise ended.
WATCH THE MAN in the video ! 

#gayteenpride #Pride #LGBT #LGBTQ #SundayFunday #gay… https://t.co/nF5OKpICqo",428852411,"Tavşanlı, Türkiye",gayteenpride,https://t.co/nF5OKpICqo,David Ferrer,0,0,5,0,9
10,2018-04-09 05:55:39,.@RafaelNadal​ and @DavidFerrer​87 get the #DavisCup job done for Spain https://t.co/ESLGbfuQLz,930049608738312192,"Leeds, England",DavisCup,https://t.co/ESLGbfuQLz,Rafael Nadal,0,0,5,0,9
36,2018-04-09 05:55:39,.@RafaelNadal​ and @DavidFerrer​87 get the #DavisCup job done for Spain https://t.co/ESLGbfuQLz,930049608738312192,"Leeds, England",DavisCup,https://t.co/ESLGbfuQLz,David Ferrer,0,0,5,0,9
17,2018-04-09 05:48:43,RT @RTS_Sport: .@DjokerNole na treningu sa Vajdom &gt;&gt; https://t.co/3uNAwSF1SR #Djokovic #rtsvesti https://t.co/R1FZzC15GX,775742948914892800,,Djokovic,https://t.co/3uNAwSF1SR,Novak Djokovic,9,0,5,0,9
11,2018-04-09 05:08:01,Spain Survives Davis Cup Struggle Behind Rafael Nadal and David Ferrer – Mondays with Bob Greene https://t.co/CnICgRrLHQ #tennis,820011278735409153,"Barcelona, Catalunya",tennis,https://t.co/CnICgRrLHQ,Rafael Nadal,0,0,5,0,9
37,2018-04-09 05:08:01,Spain Survives Davis Cup Struggle Behind Rafael Nadal and David Ferrer – Mondays with Bob Greene https://t.co/CnICgRrLHQ #tennis,820011278735409153,"Barcelona, Catalunya",tennis,https://t.co/CnICgRrLHQ,David Ferrer,0,0,5,0,9
38,2018-04-09 04:51:13,"RT @ESPNtenis: David Ferrer en casi cinco horas venció a Kohlschreiber y metió a España en semis de la #CopaDavis.
https://t.co/sVt94qgni4",182506310,Canary Islands (Spain),CopaDavis,https://t.co/sVt94qgni4,David Ferrer,5,0,4,0,9
12,2018-04-09 04:32:00,"Rafael #Nadal heads into the European clay season as the World No. 1 - but can he stay there?

It's a mammoth ask.… https://t.co/2hL5HPZVhM",42869268,Tennis!,Nadal,https://t.co/2hL5HPZVhM,Rafael Nadal,10,32,4,0,9
121,2018-04-09 03:49:33,RT @AFPSport: Coupe Davis - Lucas Pouille bat Fognini et envoie la France en demi-finales #AFP https://t.co/YXt6CLGByJ https://t.co/qjWOlDQ…,2397398513,,AFP,https://t.co/YXt6CLGByJ,Lucas Pouille,8,0,3,0,9
122,2018-04-09 03:48:07,RT @pharedk: #LoonPlage Le Nordiste Lucas Pouille une nouvelle fois héros de la patrie en Coupe Davis #tennis ? https://t.co/yR3UnvV4v6,3160066737,France,LoonPlage,https://t.co/yR3UnvV4v6,Lucas Pouille,4,0,3,0,9
29,2018-04-09 02:08:33,"マレーのすごくて楽しいテニスマジック！

Andy Murray Tennis Street Magic in London
https://t.co/wikaSfLIv5

投げた皿打ち落とすとかすごすぎです！ #テニス動画",103574078,,テニス動画,https://t.co/wikaSfLIv5,Andy Murray,0,0,2,0,9
1,2018-04-09 02:01:53,"#CopaDavis #GrupoMundial #Croacia #Kazajistán
Hoy temprano de la mano de Marin Cilic, el conjunto croata cerró su s… https://t.co/sJyK2aj47Q",816800112752074752,,CopaDavis,https://t.co/sJyK2aj47Q,Marin Cilic,0,0,2,0,9
123,2018-04-09 01:45:14,Tennis&gt;Coupe Davis: Lucas Pouille : un week-end qui comptera:Le n-- https://t.co/OWkXxdIIET #tennis https://t.co/dy7dnP0yb9,2999436016,Paris,tennis,https://t.co/OWkXxdIIET,Lucas Pouille,0,0,1,0,9
13,2018-04-09 01:39:32,#BBC Sport - #DavisCup #Tennis: #Rafael #Nadal and David #Ferrer put #Spain into semi-finals https://t.co/BvVzQDdGz1,43905364,"Toronto, Ontario",BBC,https://t.co/BvVzQDdGz1,Rafael Nadal,0,0,1,0,9
16,2018-04-09 01:26:33,DE PIE PARA EL ROGER FEDERER DE LA LUCHA LIBRE. #WrestleMania https://t.co/lrOmngcPqi,729845191,México D.F.,WrestleMania,https://t.co/lrOmngcPqi,Roger Federer,0,0,1,0,9
124,2018-04-08 23:40:07,"Champions France are back in the Davis Cup semis after Lucas #Pouille's four-set victory over Italian No. 1, Fabio… https://t.co/q4KWch70CQ",42869268,Tennis!,Pouille,https://t.co/q4KWch70CQ,Lucas Pouille,1,5,23,6,8
125,2018-04-08 23:35:13,Tennis: Lucas Pouille s'oppose à la réforme de la Coupe Davis: « -- https://t.co/sV5Qgz9Bcq #tennis https://t.co/BHl1KHanGh,2999436016,Paris,tennis,https://t.co/sV5Qgz9Bcq,Lucas Pouille,0,0,23,6,8
81,2018-04-08 22:45:58,04/12 7pm ET Join @T2RSoapsReview @Take2RadioCrew @BarefootBlonde5 @Candypooh &amp; Anthony for a chat w/ #actors… https://t.co/PvicAdjdQ1,838947432,http://www.take2radio.com/,actors,https://t.co/PvicAdjdQ1,Kevin Anderson,3,2,22,6,8
82,2018-04-08 22:45:48,04/12 7pm ET Join @T2RSoapsReview @Take2RadioCrew @BarefootBlonde5 @Candypooh &amp; Anthony for a chat w/ #actors… https://t.co/2KXQxZesio,3392910947,United States,actors,https://t.co/2KXQxZesio,Kevin Anderson,3,2,22,6,8
83,2018-04-08 22:45:39,04/12 7pm ET Join @T2RSoapsReview @Take2RadioCrew @BarefootBlonde5 @Candypooh &amp; Anthony for a chat w/ #actors… https://t.co/jSQ55J6ZFc,29370892,Somewhere inside my head,actors,https://t.co/jSQ55J6ZFc,Kevin Anderson,1,1,22,6,8
126,2018-04-08 22:36:23,RT @AFPSport: Coupe Davis - Lucas Pouille bat Fognini et envoie la France en demi-finales #AFP https://t.co/YXt6CLGByJ https://t.co/qjWOlDQ…,102909494,,AFP,https://t.co/YXt6CLGByJ,Lucas Pouille,8,0,22,6,8
18,2018-04-08 22:17:02,"RT @SnezaCC: I wish... I wish... I wish... you know what I mean #Nolefam ????
https://t.co/2EW9WI1Eun",813581191047684096,"Belgrade, Republic of Serbia",Nolefam,https://t.co/2EW9WI1Eun,Novak Djokovic,10,0,22,6,8
19,2018-04-08 22:13:24,"RT @SnezaCC: I wish... I wish... I wish... you know what I mean #Nolefam ????
https://t.co/2EW9WI1Eun",790939557051109376,,Nolefam,https://t.co/2EW9WI1Eun,Novak Djokovic,10,0,22,6,8
86,2018-04-08 21:41:00,"Doubles win by Jack Sock, Ryan Harrison puts U.S. in #DavisCup semifinals: https://t.co/vw8uZxOiZa
#Tennis",3374876560,"Hallandale Beach, FL",DavisCup,https://t.co/vw8uZxOiZa,Jack Sock,0,1,21,6,8
127,2018-04-08 21:18:25,#CopaDavis | ¡El campeón sigue en pie! Lucas Pouille derrotó a Fabio Fognini por 2-6 6-1 7-6 y 6-3 para liquidar la… https://t.co/bFYrUoiu33,906026944654860289,"Mar del Plata, Argentina",CopaDavis,https://t.co/bFYrUoiu33,Lucas Pouille,0,0,21,6,8
20,2018-04-08 21:17:07,RT @RTS_Sport: .@DjokerNole na treningu sa Vajdom &gt;&gt; https://t.co/3uNAwSF1SR #Djokovic #rtsvesti https://t.co/R1FZzC15GX,3411013918,,Djokovic,https://t.co/3uNAwSF1SR,Novak Djokovic,9,0,21,6,8
30,2018-04-08 20:41:40,It's time for #SundaySpotlight and today we're introducing our #Pharmacy and #Retail recruiter for the Midlands and… https://t.co/RxiKwaMtp0,273417077,Nottingham,SundaySpotlight,https://t.co/RxiKwaMtp0,Andy Murray,1,2,20,6,8
128,2018-04-08 20:41:28,RT @pharedk: #LoonPlage Le Nordiste Lucas Pouille une nouvelle fois héros de la patrie en Coupe Davis #tennis ? https://t.co/yR3UnvV4v6,587708785,Loon-Plage,LoonPlage,https://t.co/yR3UnvV4v6,Lucas Pouille,4,0,20,6,8
21,2018-04-08 20:37:48,RT @RTS_Sport: .@DjokerNole na treningu sa Vajdom &gt;&gt; https://t.co/3uNAwSF1SR #Djokovic #rtsvesti https://t.co/R1FZzC15GX,813581191047684096,"Belgrade, Republic of Serbia",Djokovic,https://t.co/3uNAwSF1SR,Novak Djokovic,9,0,20,6,8
129,2018-04-08 20:32:43,RT @pharedk: #LoonPlage Le Nordiste Lucas Pouille une nouvelle fois héros de la patrie en Coupe Davis #tennis ? https://t.co/yR3UnvV4v6,117044965,Loon-Plage ,LoonPlage,https://t.co/yR3UnvV4v6,Lucas Pouille,4,0,20,6,8
22,2018-04-08 20:31:16,Novak Djokovic trains with former coach Marian Vajda after Andre Agassi split https://t.co/bosqm4hPQy  Reunion? #Djokovic #Vajda,818142689556332544,Bulgaria,Djokovic,https://t.co/bosqm4hPQy,Novak Djokovic,0,0,20,6,8
2,2018-04-08 20:20:20,"Grupo Mundial #CopaDavis - Cuartos de Final

Croacia ?? venció a Kazajistán ?? por 3-1. En el 4° punto, Marin Cilic… https://t.co/YHyUHp37M7",355280304,66 días al Mundial #Rusia2018,CopaDavis,https://t.co/YHyUHp37M7,Marin Cilic,0,0,20,6,8
3,2018-04-08 20:18:14,"Čestitamo našoj Davis cup reprezentaciji na ulazak u polufinale! 
Odličan meč @cilic_marin ! #DavisCup2018… https://t.co/SkVcySEktJ",914108809416777728,Hrvatska,DavisCup2018,https://t.co/SkVcySEktJ,Marin Cilic,1,1,20,6,8
130,2018-04-08 20:17:29,"Grupo Mundial #CopaDavis - Cuartos de Final

Francia ?? eliminó a Italia ?? por 3-1. Hoy, Lucas Pouille ?? venció a… https://t.co/uxQ5j8PrQH",355280304,66 días al Mundial #Rusia2018,CopaDavis,https://t.co/uxQ5j8PrQH,Lucas Pouille,0,1,20,6,8
4,2018-04-08 20:16:55,Marin #Cilic stormed past Mikhail #Kukushkin in the first of Sunday's reverse singles to propel Croatia into the Da… https://t.co/hwMBlnOde6,42869268,Tennis!,Cilic,https://t.co/hwMBlnOde6,Marin Cilic,3,10,20,6,8
23,2018-04-08 20:15:30,"RT @SnezaCC: I wish... I wish... I wish... you know what I mean #Nolefam ????
https://t.co/2EW9WI1Eun",2742998171,Haut de France,Nolefam,https://t.co/2EW9WI1Eun,Novak Djokovic,10,0,20,6,8
24,2018-04-08 20:02:42,RT @RTS_Sport: .@DjokerNole na treningu sa Vajdom &gt;&gt; https://t.co/3uNAwSF1SR #Djokovic #rtsvesti https://t.co/R1FZzC15GX,522400043,Bor,Djokovic,https://t.co/3uNAwSF1SR,Novak Djokovic,9,0,20,6,8
25,2018-04-08 19:21:34,"RT @SnezaCC: I wish... I wish... I wish... you know what I mean #Nolefam ????
https://t.co/2EW9WI1Eun",89330565,"sucre, bolivia",Nolefam,https://t.co/2EW9WI1Eun,Novak Djokovic,10,0,19,6,8
26,2018-04-08 19:18:36,"RT @SnezaCC: I wish... I wish... I wish... you know what I mean #Nolefam ????
https://t.co/2EW9WI1Eun",1959616662,Canada,Nolefam,https://t.co/2EW9WI1Eun,Novak Djokovic,10,0,19,6,8
27,2018-04-08 19:10:57,"RT @SnezaCC: I wish... I wish... I wish... you know what I mean #Nolefam ????
https://t.co/2EW9WI1Eun",922188975955169281,,Nolefam,https://t.co/2EW9WI1Eun,Novak Djokovic,10,0,19,6,8
31,2018-04-08 19:08:24,"Any word on the #masters2018 ? 

I don't watch #Golf and have no interest in it, but i would like to know if… https://t.co/qiFYwdi5rX",239830880,South of Purgatory,masters2018,https://t.co/qiFYwdi5rX,Andy Murray,1,2,19,6,8
28,2018-04-08 19:07:39,This is how it should be #IdemoooTeamDjokovic??♥️??❤️?☘️??Novak Djokovic trains with former coach Marian Vajda afte… https://t.co/tZErwZhnIS,1959616662,Canada,IdemoooTeamDjokovic,https://t.co/tZErwZhnIS,Novak Djokovic,0,8,19,6,8
5,2018-04-08 18:11:03,"#DavisCup

Definidas las Semifinales del Grupo Mundial de Copa Davis (14-16 Septiembre):

Francia ?? vs España ??
C… https://t.co/UnfzywQFeZ",511301235,Guadalajara - CDMX,DavisCup,https://t.co/UnfzywQFeZ,Marin Cilic,0,1,18,6,8
87,2018-04-08 18:11:03,"#DavisCup

Definidas las Semifinales del Grupo Mundial de Copa Davis (14-16 Septiembre):

Francia ?? vs España ??
C… https://t.co/UnfzywQFeZ",511301235,Guadalajara - CDMX,DavisCup,https://t.co/UnfzywQFeZ,Jack Sock,0,1,18,6,8
6,2018-04-08 16:16:00,Marin Cilic mete a Croacia en semifinales de la Copa Davis https://t.co/rfsa5R1s59 #tenis,820011278735409153,"Barcelona, Catalunya",tenis,https://t.co/rfsa5R1s59,Marin Cilic,0,0,16,6,8
7,2018-04-08 16:12:31,"#CROKAZ Todo es abrazos y festejos para Croacia, uno de los semifinalistas de la #CopaDavis de la mano de… https://t.co/xpe0MCD5eG",117713581,Global,CROKAZ,https://t.co/xpe0MCD5eG,Marin Cilic,7,23,16,6,8
8,2018-04-08 16:08:54,"#Tenis | Marin Cilic lleva a Croacia a semifinales de Copa Davis 

https://t.co/1r891onxma https://t.co/7EuyA2mz0f",248725806,"Bogotá, Colombia",Tenis,https://t.co/1r891onxma,Marin Cilic,0,2,16,6,8
39,2018-04-08 15:27:56,#daviscup Must survive !!!!!! @leytonhewitt @cilic_marin @RafaelNadal @la_pouille @AlexZverev12 @JohnIsner… https://t.co/jk6czbyAq0,614071115,,daviscup,https://t.co/jk6czbyAq0,David Goffin,0,2,15,6,8
88,2018-04-08 15:20:18,"#USA-BEL: The United States leaves #Belgium

After two wins in the first singles, the pair of Jack Sock and Ryan Ha… https://t.co/msSZJbSbjT",2657856787,,USA,https://t.co/msSZJbSbjT,Jack Sock,0,0,15,6,8
32,2018-04-08 14:36:21,.@andy_murray How many more months do the Ratcliffes have to endure this nightmare. Help #FreeNazanin by signing &amp;… https://t.co/sk74L4LZsW,731846975872761858,,FreeNazanin,https://t.co/sk74L4LZsW,Andy Murray,3,0,14,6,8
33,2018-04-08 10:00:16,Who’s your money on @Andy_murray or a mosquito? Share to declare that #MalariaMustDie so millions can live.… https://t.co/5e5pzwvjQp,948592365001986048,,MalariaMustDie,https://t.co/5e5pzwvjQp,Andy Murray,14,37,10,6,8
40,2018-04-08 07:32:04,"#CoupeDavis : les Etats-Unis premiers qualifiés pour les 1/2 finales après leur victoire (3-0) contre la Belgique,… https://t.co/jbqhh1ZBvT",881942460041220097,,CoupeDavis,https://t.co/jbqhh1ZBvT,David Goffin,0,0,7,6,8
89,2018-04-08 05:45:09,"#CopaDavis #GrupoMundial #USABEL
Ryan Harrison y Jack Sock liquidaron la serie 3-0 para el equipo estadounidense, d… https://t.co/xRRmQX88gt",816800112752074752,,CopaDavis,https://t.co/xRRmQX88gt,Jack Sock,0,0,5,6,8
90,2018-04-08 04:02:00,"Sock, Harrison put U.S. in Davis Cup semis https://t.co/r7oI5fnTiw #tennis",820011278735409153,"Barcelona, Catalunya",tennis,https://t.co/r7oI5fnTiw,Jack Sock,0,1,4,6,8
131,2018-04-08 03:32:18,RT @blacq2: Nishikori withdraws from Australian Open (Reuters) - Japan's Kei Nishikori https://t.co/0DqCwTgS0D #martialarts #2snapchat @sil…,1464643573,"Teruel, Aragón",martialarts,https://t.co/0DqCwTgS0D,Kei Nishikori,1,0,3,6,8
132,2018-04-08 03:28:24,Nishikori withdraws from Australian Open (Reuters) - Japan's Kei Nishikori https://t.co/0DqCwTgS0D #martialarts #2snapchat @silewconsulting,56246250,United States,martialarts,https://t.co/0DqCwTgS0D,Kei Nishikori,1,0,3,6,8
91,2018-04-08 02:46:04,"?Team USA into #DavisCup SFs! Thanks to the doubles win by Ryan Harrison &amp; Jack Sock, Team USA clinched the Davis C… https://t.co/lX0P7S3ckh",1469717778,,DavisCup,https://t.co/lX0P7S3ckh,Jack Sock,0,0,2,6,8
92,2018-04-08 02:43:36,USA ?? are the first team into the #DavisCup semi-finals in 2018 after Jack Sock and Ryan Harrison won Saturday's d… https://t.co/RP3RCoHZVm,42869268,Tennis!,DavisCup,https://t.co/RP3RCoHZVm,Jack Sock,3,5,2,6,8
93,2018-04-08 02:22:56,"#Tenis ? | Por los cuartos de final de la #CopaDavis, Jack Sock y Ryan Harrison derrotaron por 5-7, 7-6(1), 7-6(3)… https://t.co/x7b9QbdwfH",3497278409,FM La Patriada,Tenis,https://t.co/x7b9QbdwfH,Jack Sock,0,0,2,6,8
94,2018-04-08 02:12:46,#CopaDavis ¡A semifinales! #EstadosUnidos cerró la serie ante #Bélgica con el triunfo de Jack Sock y Ryan Harrison… https://t.co/5Tq68QOmKa,48245440,,CopaDavis,https://t.co/5Tq68QOmKa,Jack Sock,8,29,2,6,8
95,2018-04-08 01:52:05,"A doubles win by Ryan Harrison and Jack Sock clinched the #DavisCup tie for Team USA 3-0 over Belgium, and secured… https://t.co/3nRkbLxfny",71432253,"Seminole, Florida",DavisCup,https://t.co/3nRkbLxfny,Jack Sock,1,1,1,6,8
96,2018-04-08 01:04:35,"Quart de finale USA/Belgique de #DavisCup 3/0, double: Ryan Harrison/Jack Sock battent Sander GILLE/Jordan VLIEGEN… https://t.co/H3TXYGdhK7",211475875,,DavisCup,https://t.co/H3TXYGdhK7,Jack Sock,3,4,1,6,8
97,2018-04-08 00:40:25,#CopaDavis | QF: Jack Sock y Ryan Harrison vencieron a los belgas Sander Gilles y Joran Vlieng 5-7 7-6(1) 7-6(3) 6-… https://t.co/RaKnzEH8lU,827042506802069504,,CopaDavis,https://t.co/RaKnzEH8lU,Jack Sock,0,0,24,6,8
98,2018-04-08 00:31:45,#CopaDavis | QF: Jack Sock y Ryan Harrison vencieron a los belgas Sander Gilles y Joran Vlieng 5-7 7-6(1) 7-6(3) 6-… https://t.co/idtMs4xYKU,4886997329,Ciudad Autónoma de Buenos Aire,CopaDavis,https://t.co/idtMs4xYKU,Jack Sock,0,1,24,6,8
99,2018-04-08 00:12:08,Ryan Harrison and Jack Sock clinch 3-0 win over Belgium in front of a very spirited #DavisCup crowd in Nashville to… https://t.co/pbZabx8U0G,27678661,New York,DavisCup,https://t.co/pbZabx8U0G,Jack Sock,2,2,24,6,8
100,2018-04-07 23:32:23,"Tennis Watch - Davis Cup, Jack Sock #SockWinnerSpeeds, WOW! #JMCVsports  #JMCVdaily #SportsDaily #SportsJunkie… https://t.co/hioGvN15kr",3061460756,,SockWinnerSpeeds,https://t.co/hioGvN15kr,Jack Sock,0,0,23,6,7
101,2018-04-07 20:50:56,".@JohnIsner, Sam Querrey put U.S. on verge of #DavisCup semifinal berth: https://t.co/8NEqgIxQ8s
#Tennis",3374876560,"Hallandale Beach, FL",DavisCup,https://t.co/8NEqgIxQ8s,Sam Querrey,0,1,20,6,7
84,2018-04-07 17:58:54,"Kevin ""O-Dog"" Anderson @larenztate #MenaceIISociety #ODog #Menace2Society #LarenzTate #Watts… https://t.co/T8dXEe9WuR",775912933,Somewhere Making Change,MenaceIISociety,https://t.co/T8dXEe9WuR,Kevin Anderson,0,0,17,6,7
77,2018-04-07 15:21:38,"#CoupeDavis : après avoir remporté le point du double, le 317e mondial Jürgen #Melzer, qu'on croyait à la retraite,… https://t.co/8wfoqUgq6y",881942460041220097,,CoupeDavis,https://t.co/8wfoqUgq6y,Dominic Thiem,0,0,15,0,7
